Orthogroup	KC244182.1	MW139932.1
OG0000053	KC244182.1_00094	MW139932.1_00095
OG0000054	KC244182.1_00096	MW139932.1_00097
OG0000055	KC244182.1_00099	MW139932.1_00100
OG0000056	KC244182.1_00111	MW139932.1_00112
OG0000057	KC244182.1_00116	MW139932.1_00117
OG0000058	KC244182.1_00118	MW139932.1_00119
OG0000059	KC244182.1_00002	MW139932.1_00002
OG0000060	KC244182.1_00010	MW139932.1_00010
OG0000061	KC244182.1_00017	MW139932.1_00018
OG0000062	KC244182.1_00091	MW139932.1_00092
OG0000063	KC244182.1_00072	MW139932.1_00074
OG0000064	KC244182.1_00016	MW139932.1_00017
OG0000065	KC244182.1_00037	MW139932.1_00041
OG0000066	KC244182.1_00041	MW139932.1_00045
OG0000067	KC244182.1_00045	MW139932.1_00049
OG0000068	KC244182.1_00066	MW139932.1_00069
OG0000069	KC244182.1_00098	MW139932.1_00099
OG0000070	KC244182.1_00100	MW139932.1_00101
OG0000071	KC244182.1_00115	MW139932.1_00116
OG0000072	KC244182.1_00009	MW139932.1_00009
OG0000073	KC244182.1_00011	MW139932.1_00012
OG0000074	KC244182.1_00015	MW139932.1_00016
OG0000075	KC244182.1_00033	MW139932.1_00037
OG0000076	KC244182.1_00036	MW139932.1_00040
OG0000077	KC244182.1_00039	MW139932.1_00043
OG0000078	KC244182.1_00040	MW139932.1_00044
OG0000079	KC244182.1_00044	MW139932.1_00048
OG0000080	KC244182.1_00050	MW139932.1_00053
OG0000081	KC244182.1_00051	MW139932.1_00054
OG0000082	KC244182.1_00052	MW139932.1_00055
OG0000083	KC244182.1_00062	MW139932.1_00064
OG0000084	KC244182.1_00065	MW139932.1_00067
OG0000085	KC244182.1_00067	MW139932.1_00070
OG0000086	KC244182.1_00068	MW139932.1_00071
OG0000087	KC244182.1_00073	MW139932.1_00075
OG0000088	KC244182.1_00074	MW139932.1_00076
OG0000089	KC244182.1_00084	MW139932.1_00085
OG0000090	KC244182.1_00085	MW139932.1_00086
