Orthogroup	OK042109.1	AF371960.1
OG0000102	OK042109.1_00121	AF371960.1_00081
OG0000103	OK042109.1_00098	AF371960.1_00103
OG0000104	OK042109.1_00094	AF371960.1_00106
OG0000105	OK042109.1_00083	AF371960.1_00116
OG0000106	OK042109.1_00049	AF371960.1_00029
OG0000107	OK042109.1_00097	AF371960.1_00104
OG0000108	OK042109.1_00079	AF371960.1_00120
OG0000109	OK042109.1_00006	AF371960.1_00072
OG0000110	OK042109.1_00081	AF371960.1_00118
OG0000115	OK042109.1_00065	AF371960.1_00011
OG0000116	OK042109.1_00023	AF371960.1_00054
OG0000117	OK042109.1_00011	AF371960.1_00067
OG0000118	OK042109.1_00108	AF371960.1_00094
OG0000140	OK042109.1_00002	AF371960.1_00077
OG0000205	OK042109.1_00018	AF371960.1_00059
