Orthogroup	MK689686.1	MK098185.1
OG0000061	MK689686.1_00089	MK098185.1_00091
OG0000062	MK689686.1_00025	MK098185.1_00029
OG0000063	MK689686.1_00071	MK098185.1_00073
OG0000064	MK689686.1_00016	MK098185.1_00017
OG0000065	MK689686.1_00037	MK098185.1_00041
OG0000066	MK689686.1_00041	MK098185.1_00045
OG0000067	MK689686.1_00045	MK098185.1_00049
OG0000068	MK689686.1_00066	MK098185.1_00068
OG0000069	MK689686.1_00096	MK098185.1_00098
OG0000070	MK689686.1_00098	MK098185.1_00100
OG0000071	MK689686.1_00113	MK098185.1_00115
OG0000072	MK689686.1_00009	MK098185.1_00009
OG0000073	MK689686.1_00011	MK098185.1_00012
OG0000074	MK689686.1_00015	MK098185.1_00016
OG0000075	MK689686.1_00033	MK098185.1_00037
OG0000076	MK689686.1_00036	MK098185.1_00040
OG0000077	MK689686.1_00039	MK098185.1_00043
OG0000078	MK689686.1_00040	MK098185.1_00044
OG0000079	MK689686.1_00044	MK098185.1_00048
OG0000080	MK689686.1_00050	MK098185.1_00053
OG0000081	MK689686.1_00051	MK098185.1_00054
OG0000082	MK689686.1_00052	MK098185.1_00055
OG0000083	MK689686.1_00061	MK098185.1_00063
OG0000084	MK689686.1_00064	MK098185.1_00066
OG0000085	MK689686.1_00067	MK098185.1_00069
OG0000086	MK689686.1_00068	MK098185.1_00070
OG0000087	MK689686.1_00072	MK098185.1_00074
OG0000088	MK689686.1_00073	MK098185.1_00075
OG0000089	MK689686.1_00082	MK098185.1_00084
OG0000090	MK689686.1_00083	MK098185.1_00085
OG0000091	MK689686.1_00095	MK098185.1_00097
OG0000092	MK689686.1_00099	MK098185.1_00101
OG0000093	MK689686.1_00103	MK098185.1_00105
OG0000094	MK689686.1_00106	MK098185.1_00108
OG0000095	MK689686.1_00107	MK098185.1_00109
OG0000096	MK689686.1_00118	MK098185.1_00120
OG0000097	MK689686.1_00003	MK098185.1_00003
OG0000098	MK689686.1_00004	MK098185.1_00004
OG0000099	MK689686.1_00038	MK098185.1_00042
OG0000100	MK689686.1_00042	MK098185.1_00046
OG0000101	MK689686.1_00069	MK098185.1_00071
OG0000102	MK689686.1_00077	MK098185.1_00079
OG0000103	MK689686.1_00100	MK098185.1_00102
OG0000104	MK689686.1_00104	MK098185.1_00106
OG0000105	MK689686.1_00115	MK098185.1_00117
OG0000106	MK689686.1_00027	MK098185.1_00031
OG0000107	MK689686.1_00101	MK098185.1_00103
OG0000108	MK689686.1_00119	MK098185.1_00121
OG0000109	MK689686.1_00070	MK098185.1_00072
OG0000110	MK689686.1_00117	MK098185.1_00119
OG0000111	MK689686.1_00091	MK098185.1_00093
OG0000112	MK689686.1_00078	MK098185.1_00080
OG0000116	MK689686.1_00065	MK098185.1_00067
OG0000118	MK689686.1_00102	MK098185.1_00104
OG0000119	MK689686.1_00111	MK098185.1_00113
