Orthogroup	ON075463.1	KC244182.1
OG0000057	ON075463.1_00113	KC244182.1_00116
OG0000058	ON075463.1_00115	KC244182.1_00118
OG0000059	ON075463.1_00002	KC244182.1_00002
OG0000060	ON075463.1_00010	KC244182.1_00010
OG0000061	ON075463.1_00017	KC244182.1_00017
OG0000062	ON075463.1_00088	KC244182.1_00091
OG0000063	ON075463.1_00070	KC244182.1_00072
OG0000064	ON075463.1_00016	KC244182.1_00016
OG0000065	ON075463.1_00037	KC244182.1_00037
OG0000066	ON075463.1_00041	KC244182.1_00041
OG0000067	ON075463.1_00045	KC244182.1_00045
OG0000068	ON075463.1_00065	KC244182.1_00066
OG0000069	ON075463.1_00095	KC244182.1_00098
OG0000070	ON075463.1_00097	KC244182.1_00100
OG0000071	ON075463.1_00112	KC244182.1_00115
OG0000072	ON075463.1_00009	KC244182.1_00009
OG0000073	ON075463.1_00011	KC244182.1_00011
OG0000074	ON075463.1_00015	KC244182.1_00015
OG0000075	ON075463.1_00033	KC244182.1_00033
OG0000076	ON075463.1_00036	KC244182.1_00036
OG0000077	ON075463.1_00039	KC244182.1_00039
OG0000078	ON075463.1_00040	KC244182.1_00040
OG0000079	ON075463.1_00044	KC244182.1_00044
OG0000080	ON075463.1_00049	KC244182.1_00050
OG0000081	ON075463.1_00050	KC244182.1_00051
OG0000082	ON075463.1_00051	KC244182.1_00052
OG0000083	ON075463.1_00060	KC244182.1_00062
OG0000084	ON075463.1_00063	KC244182.1_00065
OG0000085	ON075463.1_00066	KC244182.1_00067
OG0000086	ON075463.1_00067	KC244182.1_00068
OG0000087	ON075463.1_00071	KC244182.1_00073
OG0000088	ON075463.1_00072	KC244182.1_00074
OG0000089	ON075463.1_00081	KC244182.1_00084
OG0000090	ON075463.1_00082	KC244182.1_00085
OG0000091	ON075463.1_00094	KC244182.1_00097
OG0000092	ON075463.1_00098	KC244182.1_00101
OG0000093	ON075463.1_00102	KC244182.1_00105
OG0000094	ON075463.1_00105	KC244182.1_00108
OG0000095	ON075463.1_00106	KC244182.1_00109
OG0000097	ON075463.1_00003	KC244182.1_00003
OG0000098	ON075463.1_00004	KC244182.1_00004
OG0000099	ON075463.1_00038	KC244182.1_00038
OG0000100	ON075463.1_00042	KC244182.1_00042
OG0000101	ON075463.1_00068	KC244182.1_00070
OG0000102	ON075463.1_00076	KC244182.1_00079
OG0000103	ON075463.1_00099	KC244182.1_00102
OG0000104	ON075463.1_00103	KC244182.1_00106
OG0000105	ON075463.1_00114	KC244182.1_00117
OG0000106	ON075463.1_00027	KC244182.1_00027
OG0000107	ON075463.1_00100	KC244182.1_00103
OG0000108	ON075463.1_00117	KC244182.1_00120
OG0000109	ON075463.1_00069	KC244182.1_00071
OG0000110	ON075463.1_00116	KC244182.1_00119
OG0000111	ON075463.1_00090	KC244182.1_00093
OG0000112	ON075463.1_00077	KC244182.1_00080
OG0000116	ON075463.1_00052	KC244182.1_00053
OG0000120	ON075463.1_00101	KC244182.1_00104
OG0000121	ON075463.1_00110	KC244182.1_00113
OG0000143	ON075463.1_00020	KC244182.1_00020
OG0000179	ON075463.1_00026	KC244182.1_00026
