Orthogroup	OQ475017.1	BD143114.1
OG0000054	OQ475017.1_00097	BD143114.1_00100
OG0000055	OQ475017.1_00109	BD143114.1_00088
OG0000056	OQ475017.1_00114	BD143114.1_00083
OG0000057	OQ475017.1_00116	BD143114.1_00081
OG0000058	OQ475017.1_00002	BD143114.1_00072
OG0000059	OQ475017.1_00010	BD143114.1_00065
OG0000060	OQ475017.1_00018	BD143114.1_00057
OG0000061	OQ475017.1_00088	BD143114.1_00108
OG0000062	OQ475017.1_00027	BD143114.1_00049
OG0000063	OQ475017.1_00070	BD143114.1_00004
OG0000064	OQ475017.1_00017	BD143114.1_00058
OG0000065	OQ475017.1_00038	BD143114.1_00037
OG0000066	OQ475017.1_00042	BD143114.1_00033
OG0000067	OQ475017.1_00046	BD143114.1_00029
OG0000068	OQ475017.1_00065	BD143114.1_00009
OG0000069	OQ475017.1_00096	BD143114.1_00101
OG0000070	OQ475017.1_00098	BD143114.1_00099
OG0000071	OQ475017.1_00113	BD143114.1_00084
OG0000072	OQ475017.1_00009	BD143114.1_00066
OG0000073	OQ475017.1_00012	BD143114.1_00063
OG0000074	OQ475017.1_00016	BD143114.1_00059
OG0000075	OQ475017.1_00034	BD143114.1_00041
OG0000076	OQ475017.1_00037	BD143114.1_00038
OG0000077	OQ475017.1_00040	BD143114.1_00035
OG0000078	OQ475017.1_00041	BD143114.1_00034
OG0000079	OQ475017.1_00045	BD143114.1_00030
OG0000080	OQ475017.1_00050	BD143114.1_00025
OG0000081	OQ475017.1_00051	BD143114.1_00024
OG0000082	OQ475017.1_00052	BD143114.1_00023
OG0000083	OQ475017.1_00061	BD143114.1_00014
OG0000084	OQ475017.1_00064	BD143114.1_00011
OG0000085	OQ475017.1_00066	BD143114.1_00008
OG0000086	OQ475017.1_00067	BD143114.1_00007
OG0000087	OQ475017.1_00071	BD143114.1_00003
OG0000088	OQ475017.1_00072	BD143114.1_00002
OG0000089	OQ475017.1_00081	BD143114.1_00116
OG0000090	OQ475017.1_00082	BD143114.1_00115
OG0000091	OQ475017.1_00095	BD143114.1_00102
OG0000092	OQ475017.1_00099	BD143114.1_00098
OG0000093	OQ475017.1_00103	BD143114.1_00094
OG0000094	OQ475017.1_00106	BD143114.1_00091
OG0000095	OQ475017.1_00107	BD143114.1_00090
OG0000096	OQ475017.1_00118	BD143114.1_00079
OG0000098	OQ475017.1_00004	BD143114.1_00071
OG0000099	OQ475017.1_00039	BD143114.1_00036
OG0000100	OQ475017.1_00043	BD143114.1_00032
OG0000101	OQ475017.1_00068	BD143114.1_00006
OG0000102	OQ475017.1_00076	BD143114.1_00121
OG0000103	OQ475017.1_00100	BD143114.1_00097
OG0000104	OQ475017.1_00104	BD143114.1_00093
OG0000105	OQ475017.1_00115	BD143114.1_00082
OG0000107	OQ475017.1_00101	BD143114.1_00096
OG0000108	OQ475017.1_00119	BD143114.1_00078
OG0000109	OQ475017.1_00069	BD143114.1_00005
OG0000110	OQ475017.1_00117	BD143114.1_00080
OG0000111	OQ475017.1_00091	BD143114.1_00106
OG0000112	OQ475017.1_00077	BD143114.1_00120
OG0000113	OQ475017.1_00021	BD143114.1_00054
OG0000114	OQ475017.1_00011	BD143114.1_00064
OG0000115	OQ475017.1_00053	BD143114.1_00022
OG0000118	OQ475017.1_00102	BD143114.1_00095
OG0000119	OQ475017.1_00111	BD143114.1_00086
OG0000124	OQ475017.1_00028	BD143114.1_00048
