Orthogroup	OQ475017.1	OL774655.1
OG0000043	OQ475017.1_00049	OL774655.1_00053
OG0000044	OQ475017.1_00054	OL774655.1_00058
OG0000045	OQ475017.1_00055	OL774655.1_00059
OG0000046	OQ475017.1_00057	OL774655.1_00061
OG0000047	OQ475017.1_00058	OL774655.1_00062
OG0000048	OQ475017.1_00059	OL774655.1_00063
OG0000049	OQ475017.1_00075	OL774655.1_00080
OG0000050	OQ475017.1_00079	OL774655.1_00083
OG0000051	OQ475017.1_00080	OL774655.1_00084
OG0000052	OQ475017.1_00092	OL774655.1_00095
OG0000053	OQ475017.1_00094	OL774655.1_00097
OG0000054	OQ475017.1_00097	OL774655.1_00100
OG0000055	OQ475017.1_00109	OL774655.1_00112
OG0000056	OQ475017.1_00114	OL774655.1_00117
OG0000057	OQ475017.1_00116	OL774655.1_00119
OG0000058	OQ475017.1_00002	OL774655.1_00002
OG0000059	OQ475017.1_00010	OL774655.1_00010
OG0000060	OQ475017.1_00018	OL774655.1_00018
OG0000061	OQ475017.1_00088	OL774655.1_00092
OG0000062	OQ475017.1_00027	OL774655.1_00030
OG0000063	OQ475017.1_00070	OL774655.1_00075
OG0000064	OQ475017.1_00017	OL774655.1_00017
OG0000065	OQ475017.1_00038	OL774655.1_00042
OG0000066	OQ475017.1_00042	OL774655.1_00046
OG0000067	OQ475017.1_00046	OL774655.1_00050
OG0000068	OQ475017.1_00065	OL774655.1_00070
OG0000069	OQ475017.1_00096	OL774655.1_00099
OG0000070	OQ475017.1_00098	OL774655.1_00101
OG0000071	OQ475017.1_00113	OL774655.1_00116
OG0000072	OQ475017.1_00009	OL774655.1_00009
OG0000073	OQ475017.1_00012	OL774655.1_00012
OG0000074	OQ475017.1_00016	OL774655.1_00016
OG0000075	OQ475017.1_00034	OL774655.1_00038
OG0000076	OQ475017.1_00037	OL774655.1_00041
OG0000077	OQ475017.1_00040	OL774655.1_00044
OG0000078	OQ475017.1_00041	OL774655.1_00045
OG0000079	OQ475017.1_00045	OL774655.1_00049
OG0000080	OQ475017.1_00050	OL774655.1_00054
OG0000081	OQ475017.1_00051	OL774655.1_00055
OG0000082	OQ475017.1_00052	OL774655.1_00056
OG0000083	OQ475017.1_00061	OL774655.1_00065
OG0000084	OQ475017.1_00064	OL774655.1_00068
OG0000085	OQ475017.1_00066	OL774655.1_00071
OG0000086	OQ475017.1_00067	OL774655.1_00072
OG0000087	OQ475017.1_00071	OL774655.1_00076
OG0000088	OQ475017.1_00072	OL774655.1_00077
OG0000089	OQ475017.1_00081	OL774655.1_00085
OG0000090	OQ475017.1_00082	OL774655.1_00086
OG0000091	OQ475017.1_00095	OL774655.1_00098
OG0000092	OQ475017.1_00099	OL774655.1_00102
OG0000093	OQ475017.1_00103	OL774655.1_00106
OG0000094	OQ475017.1_00106	OL774655.1_00109
OG0000095	OQ475017.1_00107	OL774655.1_00110
OG0000096	OQ475017.1_00118	OL774655.1_00121
OG0000097	OQ475017.1_00003	OL774655.1_00003
OG0000098	OQ475017.1_00004	OL774655.1_00004
OG0000099	OQ475017.1_00039	OL774655.1_00043
