Orthogroup	AY894343.1	KC244182.1
OG0000040	AY894343.1_00023	KC244182.1_00024
OG0000041	AY894343.1_00031	KC244182.1_00031
OG0000042	AY894343.1_00035	KC244182.1_00035
OG0000043	AY894343.1_00048	KC244182.1_00048
OG0000044	AY894343.1_00049	KC244182.1_00049
OG0000045	AY894343.1_00054	KC244182.1_00054
OG0000046	AY894343.1_00055	KC244182.1_00055
OG0000047	AY894343.1_00057	KC244182.1_00057
OG0000048	AY894343.1_00058	KC244182.1_00058
OG0000049	AY894343.1_00059	KC244182.1_00060
OG0000050	AY894343.1_00078	KC244182.1_00078
OG0000051	AY894343.1_00082	KC244182.1_00082
OG0000052	AY894343.1_00083	KC244182.1_00083
OG0000053	AY894343.1_00095	KC244182.1_00094
OG0000054	AY894343.1_00097	KC244182.1_00096
OG0000055	AY894343.1_00100	KC244182.1_00099
OG0000056	AY894343.1_00112	KC244182.1_00111
OG0000057	AY894343.1_00117	KC244182.1_00116
OG0000058	AY894343.1_00119	KC244182.1_00118
OG0000059	AY894343.1_00002	KC244182.1_00002
OG0000060	AY894343.1_00010	KC244182.1_00010
OG0000061	AY894343.1_00018	KC244182.1_00017
OG0000062	AY894343.1_00091	KC244182.1_00091
OG0000063	AY894343.1_00072	KC244182.1_00072
OG0000064	AY894343.1_00017	KC244182.1_00016
OG0000065	AY894343.1_00037	KC244182.1_00037
OG0000066	AY894343.1_00041	KC244182.1_00041
OG0000067	AY894343.1_00045	KC244182.1_00045
OG0000068	AY894343.1_00067	KC244182.1_00066
OG0000069	AY894343.1_00099	KC244182.1_00098
OG0000070	AY894343.1_00101	KC244182.1_00100
OG0000071	AY894343.1_00116	KC244182.1_00115
OG0000072	AY894343.1_00009	KC244182.1_00009
OG0000073	AY894343.1_00011	KC244182.1_00011
OG0000074	AY894343.1_00016	KC244182.1_00015
OG0000075	AY894343.1_00033	KC244182.1_00033
OG0000076	AY894343.1_00036	KC244182.1_00036
OG0000077	AY894343.1_00039	KC244182.1_00039
OG0000078	AY894343.1_00040	KC244182.1_00040
OG0000079	AY894343.1_00044	KC244182.1_00044
OG0000080	AY894343.1_00050	KC244182.1_00050
OG0000081	AY894343.1_00051	KC244182.1_00051
OG0000082	AY894343.1_00052	KC244182.1_00052
OG0000083	AY894343.1_00062	KC244182.1_00062
OG0000084	AY894343.1_00065	KC244182.1_00065
OG0000085	AY894343.1_00068	KC244182.1_00067
OG0000086	AY894343.1_00069	KC244182.1_00068
OG0000087	AY894343.1_00073	KC244182.1_00073
OG0000088	AY894343.1_00074	KC244182.1_00074
OG0000089	AY894343.1_00084	KC244182.1_00084
OG0000090	AY894343.1_00085	KC244182.1_00085
OG0000091	AY894343.1_00098	KC244182.1_00097
OG0000092	AY894343.1_00102	KC244182.1_00101
OG0000093	AY894343.1_00106	KC244182.1_00105
OG0000094	AY894343.1_00109	KC244182.1_00108
OG0000095	AY894343.1_00110	KC244182.1_00109
OG0000097	AY894343.1_00003	KC244182.1_00003
OG0000098	AY894343.1_00004	KC244182.1_00004
OG0000099	AY894343.1_00038	KC244182.1_00038
OG0000100	AY894343.1_00042	KC244182.1_00042
OG0000101	AY894343.1_00070	KC244182.1_00070
OG0000102	AY894343.1_00079	KC244182.1_00079
OG0000103	AY894343.1_00103	KC244182.1_00102
OG0000104	AY894343.1_00107	KC244182.1_00106
OG0000105	AY894343.1_00118	KC244182.1_00117
OG0000106	AY894343.1_00027	KC244182.1_00027
OG0000107	AY894343.1_00104	KC244182.1_00103
OG0000108	AY894343.1_00122	KC244182.1_00120
OG0000109	AY894343.1_00071	KC244182.1_00071
OG0000110	AY894343.1_00120	KC244182.1_00119
OG0000111	AY894343.1_00094	KC244182.1_00093
OG0000112	AY894343.1_00080	KC244182.1_00080
OG0000116	AY894343.1_00053	KC244182.1_00053
OG0000120	AY894343.1_00105	KC244182.1_00104
OG0000121	AY894343.1_00114	KC244182.1_00113
OG0000130	AY894343.1_00047	KC244182.1_00047
OG0000140	AY894343.1_00075	KC244182.1_00075
OG0000179	AY894343.1_00026	KC244182.1_00026
