Orthogroup	OL774654.1	BD143114.1
OG0000048	OL774654.1_00059	BD143114.1_00017
OG0000049	OL774654.1_00060	BD143114.1_00016
OG0000050	OL774654.1_00077	BD143114.1_00122
OG0000051	OL774654.1_00081	BD143114.1_00118
OG0000052	OL774654.1_00082	BD143114.1_00117
OG0000053	OL774654.1_00093	BD143114.1_00105
OG0000054	OL774654.1_00095	BD143114.1_00103
OG0000055	OL774654.1_00098	BD143114.1_00100
OG0000056	OL774654.1_00110	BD143114.1_00088
OG0000057	OL774654.1_00115	BD143114.1_00083
OG0000058	OL774654.1_00117	BD143114.1_00081
OG0000059	OL774654.1_00002	BD143114.1_00072
OG0000060	OL774654.1_00010	BD143114.1_00065
OG0000061	OL774654.1_00018	BD143114.1_00057
OG0000062	OL774654.1_00090	BD143114.1_00108
OG0000063	OL774654.1_00072	BD143114.1_00004
OG0000064	OL774654.1_00017	BD143114.1_00058
OG0000065	OL774654.1_00039	BD143114.1_00037
OG0000066	OL774654.1_00043	BD143114.1_00033
OG0000067	OL774654.1_00047	BD143114.1_00029
OG0000068	OL774654.1_00067	BD143114.1_00009
OG0000069	OL774654.1_00097	BD143114.1_00101
OG0000070	OL774654.1_00099	BD143114.1_00099
OG0000071	OL774654.1_00114	BD143114.1_00084
OG0000072	OL774654.1_00009	BD143114.1_00066
OG0000073	OL774654.1_00012	BD143114.1_00063
OG0000074	OL774654.1_00016	BD143114.1_00059
OG0000075	OL774654.1_00035	BD143114.1_00041
OG0000076	OL774654.1_00038	BD143114.1_00038
OG0000077	OL774654.1_00041	BD143114.1_00035
OG0000078	OL774654.1_00042	BD143114.1_00034
OG0000079	OL774654.1_00046	BD143114.1_00030
OG0000080	OL774654.1_00051	BD143114.1_00025
OG0000081	OL774654.1_00052	BD143114.1_00024
OG0000082	OL774654.1_00053	BD143114.1_00023
OG0000083	OL774654.1_00062	BD143114.1_00014
OG0000084	OL774654.1_00065	BD143114.1_00011
OG0000085	OL774654.1_00068	BD143114.1_00008
OG0000086	OL774654.1_00069	BD143114.1_00007
OG0000087	OL774654.1_00073	BD143114.1_00003
OG0000088	OL774654.1_00074	BD143114.1_00002
OG0000089	OL774654.1_00083	BD143114.1_00116
OG0000090	OL774654.1_00084	BD143114.1_00115
OG0000091	OL774654.1_00096	BD143114.1_00102
OG0000092	OL774654.1_00100	BD143114.1_00098
OG0000093	OL774654.1_00104	BD143114.1_00094
OG0000094	OL774654.1_00107	BD143114.1_00091
OG0000095	OL774654.1_00108	BD143114.1_00090
OG0000096	OL774654.1_00119	BD143114.1_00079
OG0000098	OL774654.1_00004	BD143114.1_00071
OG0000099	OL774654.1_00040	BD143114.1_00036
OG0000100	OL774654.1_00044	BD143114.1_00032
OG0000101	OL774654.1_00070	BD143114.1_00006
OG0000102	OL774654.1_00078	BD143114.1_00121
OG0000103	OL774654.1_00101	BD143114.1_00097
OG0000104	OL774654.1_00105	BD143114.1_00093
OG0000105	OL774654.1_00116	BD143114.1_00082
OG0000106	OL774654.1_00029	BD143114.1_00047
OG0000107	OL774654.1_00102	BD143114.1_00096
OG0000108	OL774654.1_00120	BD143114.1_00078
OG0000109	OL774654.1_00071	BD143114.1_00005
OG0000110	OL774654.1_00118	BD143114.1_00080
OG0000111	OL774654.1_00092	BD143114.1_00106
OG0000112	OL774654.1_00079	BD143114.1_00120
OG0000114	OL774654.1_00021	BD143114.1_00054
OG0000115	OL774654.1_00011	BD143114.1_00064
OG0000117	OL774654.1_00066	BD143114.1_00010
OG0000120	OL774654.1_00103	BD143114.1_00095
OG0000121	OL774654.1_00112	BD143114.1_00086
OG0000125	OL774654.1_00028	BD143114.1_00048
OG0000127	OL774654.1_00025	BD143114.1_00050
