Orthogroup	ON075463.1	OQ475017.1
OG0000084	ON075463.1_00063	OQ475017.1_00064
OG0000085	ON075463.1_00066	OQ475017.1_00066
OG0000086	ON075463.1_00067	OQ475017.1_00067
OG0000087	ON075463.1_00071	OQ475017.1_00071
OG0000088	ON075463.1_00072	OQ475017.1_00072
OG0000089	ON075463.1_00081	OQ475017.1_00081
OG0000090	ON075463.1_00082	OQ475017.1_00082
OG0000091	ON075463.1_00094	OQ475017.1_00095
OG0000092	ON075463.1_00098	OQ475017.1_00099
OG0000093	ON075463.1_00102	OQ475017.1_00103
OG0000094	ON075463.1_00105	OQ475017.1_00106
OG0000095	ON075463.1_00106	OQ475017.1_00107
OG0000097	ON075463.1_00003	OQ475017.1_00003
OG0000098	ON075463.1_00004	OQ475017.1_00004
OG0000099	ON075463.1_00038	OQ475017.1_00039
OG0000100	ON075463.1_00042	OQ475017.1_00043
OG0000101	ON075463.1_00068	OQ475017.1_00068
OG0000102	ON075463.1_00076	OQ475017.1_00076
OG0000103	ON075463.1_00099	OQ475017.1_00100
OG0000104	ON075463.1_00103	OQ475017.1_00104
OG0000105	ON075463.1_00114	OQ475017.1_00115
OG0000107	ON075463.1_00100	OQ475017.1_00101
OG0000108	ON075463.1_00117	OQ475017.1_00119
OG0000109	ON075463.1_00069	OQ475017.1_00069
OG0000110	ON075463.1_00116	OQ475017.1_00117
OG0000111	ON075463.1_00090	OQ475017.1_00091
OG0000112	ON075463.1_00077	OQ475017.1_00077
OG0000115	ON075463.1_00052	OQ475017.1_00053
OG0000118	ON075463.1_00101	OQ475017.1_00102
OG0000119	ON075463.1_00110	OQ475017.1_00111
OG0000131	ON075463.1_00089	OQ475017.1_00089
