Orthogroup	MG570131.1	MW139932.1
OG0000065	MG570131.1_00039	MW139932.1_00041
OG0000066	MG570131.1_00043	MW139932.1_00045
OG0000067	MG570131.1_00047	MW139932.1_00049
OG0000068	MG570131.1_00066	MW139932.1_00069
OG0000069	MG570131.1_00095	MW139932.1_00099
OG0000070	MG570131.1_00097	MW139932.1_00101
OG0000071	MG570131.1_00111	MW139932.1_00116
OG0000072	MG570131.1_00010	MW139932.1_00009
OG0000073	MG570131.1_00013	MW139932.1_00012
OG0000074	MG570131.1_00017	MW139932.1_00016
OG0000075	MG570131.1_00035	MW139932.1_00037
OG0000076	MG570131.1_00038	MW139932.1_00040
OG0000077	MG570131.1_00041	MW139932.1_00043
OG0000078	MG570131.1_00042	MW139932.1_00044
OG0000079	MG570131.1_00046	MW139932.1_00048
OG0000080	MG570131.1_00051	MW139932.1_00053
OG0000081	MG570131.1_00052	MW139932.1_00054
OG0000082	MG570131.1_00053	MW139932.1_00055
OG0000083	MG570131.1_00062	MW139932.1_00064
OG0000084	MG570131.1_00065	MW139932.1_00067
OG0000085	MG570131.1_00067	MW139932.1_00070
OG0000086	MG570131.1_00068	MW139932.1_00071
OG0000087	MG570131.1_00071	MW139932.1_00075
OG0000088	MG570131.1_00072	MW139932.1_00076
OG0000089	MG570131.1_00081	MW139932.1_00085
OG0000090	MG570131.1_00082	MW139932.1_00086
OG0000091	MG570131.1_00094	MW139932.1_00098
OG0000092	MG570131.1_00098	MW139932.1_00102
OG0000093	MG570131.1_00101	MW139932.1_00106
OG0000094	MG570131.1_00104	MW139932.1_00109
OG0000095	MG570131.1_00105	MW139932.1_00110
OG0000096	MG570131.1_00116	MW139932.1_00121
OG0000097	MG570131.1_00003	MW139932.1_00003
OG0000098	MG570131.1_00004	MW139932.1_00004
OG0000099	MG570131.1_00040	MW139932.1_00042
OG0000100	MG570131.1_00044	MW139932.1_00046
OG0000101	MG570131.1_00069	MW139932.1_00072
OG0000102	MG570131.1_00076	MW139932.1_00080
OG0000103	MG570131.1_00099	MW139932.1_00103
OG0000104	MG570131.1_00102	MW139932.1_00107
OG0000105	MG570131.1_00113	MW139932.1_00118
OG0000106	MG570131.1_00029	MW139932.1_00031
OG0000107	MG570131.1_00100	MW139932.1_00104
OG0000108	MG570131.1_00117	MW139932.1_00122
OG0000110	MG570131.1_00115	MW139932.1_00120
OG0000111	MG570131.1_00090	MW139932.1_00094
OG0000112	MG570131.1_00077	MW139932.1_00081
OG0000115	MG570131.1_00012	MW139932.1_00011
OG0000118	MG570131.1_00089	MW139932.1_00093
OG0000121	MG570131.1_00109	MW139932.1_00114
OG0000127	MG570131.1_00026	MW139932.1_00027
