Number of species	40
Number of genes	5278
Number of genes in orthogroups	4763
Number of unassigned genes	515
Percentage of genes in orthogroups	90.2
Percentage of unassigned genes	9.8
Number of orthogroups	408
Number of species-specific orthogroups	40
Number of genes in species-specific orthogroups	141
Percentage of genes in species-specific orthogroups	2.7
Mean orthogroup size	11.7
Median orthogroup size	4.0
G50 (assigned genes)	28
G50 (all genes)	28
O50 (assigned genes)	71
O50 (all genes)	80
Number of orthogroups with all species present	17
Number of single-copy orthogroups	14
Date	2024-09-02
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	391	95.8	4078	85.6
'1	17	4.2	685	14.4
'2	0	0.0	0	0.0
'3	0	0.0	0	0.0
'4	0	0.0	0	0.0
'5	0	0.0	0	0.0
'6	0	0.0	0	0.0
'7	0	0.0	0	0.0
'8	0	0.0	0	0.0
'9	0	0.0	0	0.0
'10	0	0.0	0	0.0
11-15	0	0.0	0	0.0
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	40
2	100
3	69
4	28
5	27
6	11
7	5
8	3
9	1
10	2
11	1
12	2
13	0
14	0
15	0
16	0
17	1
18	2
19	2
20	0
21	1
22	0
23	0
24	1
25	1
26	7
27	7
28	31
29	2
30	8
31	27
32	1
33	2
34	2
35	1
36	0
37	1
38	2
39	3
40	17
