Orthogroup	OL774654.1	OQ475017.1
OG0000075	OL774654.1_00035	OQ475017.1_00034
OG0000076	OL774654.1_00038	OQ475017.1_00037
OG0000077	OL774654.1_00041	OQ475017.1_00040
OG0000078	OL774654.1_00042	OQ475017.1_00041
OG0000079	OL774654.1_00046	OQ475017.1_00045
OG0000080	OL774654.1_00051	OQ475017.1_00050
OG0000081	OL774654.1_00052	OQ475017.1_00051
OG0000082	OL774654.1_00053	OQ475017.1_00052
OG0000083	OL774654.1_00062	OQ475017.1_00061
OG0000084	OL774654.1_00065	OQ475017.1_00064
OG0000085	OL774654.1_00068	OQ475017.1_00066
OG0000086	OL774654.1_00069	OQ475017.1_00067
OG0000087	OL774654.1_00073	OQ475017.1_00071
OG0000088	OL774654.1_00074	OQ475017.1_00072
OG0000089	OL774654.1_00083	OQ475017.1_00081
OG0000090	OL774654.1_00084	OQ475017.1_00082
OG0000091	OL774654.1_00096	OQ475017.1_00095
OG0000092	OL774654.1_00100	OQ475017.1_00099
OG0000093	OL774654.1_00104	OQ475017.1_00103
OG0000094	OL774654.1_00107	OQ475017.1_00106
OG0000095	OL774654.1_00108	OQ475017.1_00107
OG0000096	OL774654.1_00119	OQ475017.1_00118
OG0000097	OL774654.1_00003	OQ475017.1_00003
OG0000098	OL774654.1_00004	OQ475017.1_00004
OG0000099	OL774654.1_00040	OQ475017.1_00039
OG0000100	OL774654.1_00044	OQ475017.1_00043
OG0000101	OL774654.1_00070	OQ475017.1_00068
OG0000102	OL774654.1_00078	OQ475017.1_00076
OG0000103	OL774654.1_00101	OQ475017.1_00100
OG0000104	OL774654.1_00105	OQ475017.1_00104
OG0000105	OL774654.1_00116	OQ475017.1_00115
OG0000107	OL774654.1_00102	OQ475017.1_00101
OG0000108	OL774654.1_00120	OQ475017.1_00119
OG0000109	OL774654.1_00071	OQ475017.1_00069
OG0000110	OL774654.1_00118	OQ475017.1_00117
OG0000111	OL774654.1_00092	OQ475017.1_00091
OG0000112	OL774654.1_00079	OQ475017.1_00077
OG0000113	OL774654.1_00021	OQ475017.1_00021
OG0000114	OL774654.1_00011	OQ475017.1_00011
OG0000118	OL774654.1_00103	OQ475017.1_00102
OG0000119	OL774654.1_00112	OQ475017.1_00111
OG0000124	OL774654.1_00028	OQ475017.1_00028
OG0000131	OL774654.1_00091	OQ475017.1_00089
