Orthogroup	OL774654.1	ON743042.1
OG0000084	OL774654.1_00065	ON743042.1_00067
OG0000085	OL774654.1_00068	ON743042.1_00070
OG0000086	OL774654.1_00069	ON743042.1_00071
OG0000087	OL774654.1_00073	ON743042.1_00075
OG0000088	OL774654.1_00074	ON743042.1_00076
OG0000089	OL774654.1_00083	ON743042.1_00085
OG0000090	OL774654.1_00084	ON743042.1_00086
OG0000091	OL774654.1_00096	ON743042.1_00098
OG0000092	OL774654.1_00100	ON743042.1_00102
OG0000093	OL774654.1_00104	ON743042.1_00106
OG0000094	OL774654.1_00107	ON743042.1_00109
OG0000095	OL774654.1_00108	ON743042.1_00110
OG0000096	OL774654.1_00119	ON743042.1_00121
OG0000097	OL774654.1_00003	ON743042.1_00003
OG0000098	OL774654.1_00004	ON743042.1_00004
OG0000099	OL774654.1_00040	ON743042.1_00041
OG0000100	OL774654.1_00044	ON743042.1_00045
OG0000101	OL774654.1_00070	ON743042.1_00072
OG0000102	OL774654.1_00078	ON743042.1_00080
OG0000103	OL774654.1_00101	ON743042.1_00103
OG0000104	OL774654.1_00105	ON743042.1_00107
OG0000105	OL774654.1_00116	ON743042.1_00118
OG0000106	OL774654.1_00029	ON743042.1_00029
OG0000107	OL774654.1_00102	ON743042.1_00104
OG0000108	OL774654.1_00120	ON743042.1_00122
OG0000109	OL774654.1_00071	ON743042.1_00073
OG0000110	OL774654.1_00118	ON743042.1_00120
OG0000111	OL774654.1_00092	ON743042.1_00094
OG0000112	OL774654.1_00079	ON743042.1_00081
OG0000113	OL774654.1_00021	ON743042.1_00021
OG0000114	OL774654.1_00011	ON743042.1_00011
OG0000116	OL774654.1_00066	ON743042.1_00068
OG0000118	OL774654.1_00103	ON743042.1_00105
OG0000119	OL774654.1_00112	ON743042.1_00114
OG0000124	OL774654.1_00028	ON743042.1_00028
OG0000126	OL774654.1_00025	ON743042.1_00026
OG0000131	OL774654.1_00091	ON743042.1_00093
