Orthogroup	OL774655.1	OL774654.1
OG0000051	OL774655.1_00084	OL774654.1_00082
OG0000052	OL774655.1_00095	OL774654.1_00093
OG0000053	OL774655.1_00097	OL774654.1_00095
OG0000054	OL774655.1_00100	OL774654.1_00098
OG0000055	OL774655.1_00112	OL774654.1_00110
OG0000056	OL774655.1_00117	OL774654.1_00115
OG0000057	OL774655.1_00119	OL774654.1_00117
OG0000058	OL774655.1_00002	OL774654.1_00002
OG0000059	OL774655.1_00010	OL774654.1_00010
OG0000060	OL774655.1_00018	OL774654.1_00018
OG0000061	OL774655.1_00092	OL774654.1_00090
OG0000062	OL774655.1_00030	OL774654.1_00027
OG0000063	OL774655.1_00075	OL774654.1_00072
OG0000064	OL774655.1_00017	OL774654.1_00017
OG0000065	OL774655.1_00042	OL774654.1_00039
OG0000066	OL774655.1_00046	OL774654.1_00043
OG0000067	OL774655.1_00050	OL774654.1_00047
OG0000068	OL774655.1_00070	OL774654.1_00067
OG0000069	OL774655.1_00099	OL774654.1_00097
OG0000070	OL774655.1_00101	OL774654.1_00099
OG0000071	OL774655.1_00116	OL774654.1_00114
OG0000072	OL774655.1_00009	OL774654.1_00009
OG0000073	OL774655.1_00012	OL774654.1_00012
OG0000074	OL774655.1_00016	OL774654.1_00016
OG0000075	OL774655.1_00038	OL774654.1_00035
OG0000076	OL774655.1_00041	OL774654.1_00038
OG0000077	OL774655.1_00044	OL774654.1_00041
OG0000078	OL774655.1_00045	OL774654.1_00042
OG0000079	OL774655.1_00049	OL774654.1_00046
OG0000080	OL774655.1_00054	OL774654.1_00051
OG0000081	OL774655.1_00055	OL774654.1_00052
OG0000082	OL774655.1_00056	OL774654.1_00053
OG0000083	OL774655.1_00065	OL774654.1_00062
OG0000084	OL774655.1_00068	OL774654.1_00065
OG0000085	OL774655.1_00071	OL774654.1_00068
OG0000086	OL774655.1_00072	OL774654.1_00069
OG0000087	OL774655.1_00076	OL774654.1_00073
OG0000088	OL774655.1_00077	OL774654.1_00074
OG0000089	OL774655.1_00085	OL774654.1_00083
OG0000090	OL774655.1_00086	OL774654.1_00084
OG0000091	OL774655.1_00098	OL774654.1_00096
OG0000092	OL774655.1_00102	OL774654.1_00100
OG0000093	OL774655.1_00106	OL774654.1_00104
OG0000094	OL774655.1_00109	OL774654.1_00107
OG0000095	OL774655.1_00110	OL774654.1_00108
OG0000096	OL774655.1_00121	OL774654.1_00119
OG0000097	OL774655.1_00003	OL774654.1_00003
OG0000098	OL774655.1_00004	OL774654.1_00004
OG0000099	OL774655.1_00043	OL774654.1_00040
OG0000100	OL774655.1_00047	OL774654.1_00044
OG0000101	OL774655.1_00073	OL774654.1_00070
OG0000103	OL774655.1_00103	OL774654.1_00101
OG0000104	OL774655.1_00107	OL774654.1_00105
OG0000105	OL774655.1_00118	OL774654.1_00116
OG0000106	OL774655.1_00032	OL774654.1_00029
OG0000107	OL774655.1_00104	OL774654.1_00102
OG0000108	OL774655.1_00122	OL774654.1_00120
OG0000109	OL774655.1_00074	OL774654.1_00071
OG0000110	OL774655.1_00120	OL774654.1_00118
OG0000111	OL774655.1_00094	OL774654.1_00092
OG0000112	OL774655.1_00081	OL774654.1_00079
OG0000113	OL774655.1_00021	OL774654.1_00021
OG0000114	OL774655.1_00011	OL774654.1_00011
OG0000116	OL774655.1_00069	OL774654.1_00066
OG0000118	OL774655.1_00105	OL774654.1_00103
OG0000119	OL774655.1_00114	OL774654.1_00112
OG0000124	OL774655.1_00031	OL774654.1_00028
OG0000139	OL774655.1_00029	OL774654.1_00026
OG0000173	OL774655.1_00057	OL774654.1_00054
