Orthogroup	MCV_Unclassified_OQ475017.1	MCV_MP1_LYCI_AY779031.1
OG0000026	MCV_Unclassified_OQ475017.1_00108	MCV_MP1_LYCI_AY779031.1_00119
OG0000027	MCV_Unclassified_OQ475017.1_00085	MCV_MP1_LYCI_AY779031.1_00096
OG0000028	MCV_Unclassified_OQ475017.1_00047	MCV_MP1_LYCI_AY779031.1_00052
OG0000029	MCV_Unclassified_OQ475017.1_00060	MCV_MP1_LYCI_AY779031.1_00066
OG0000030	MCV_Unclassified_OQ475017.1_00006	MCV_MP1_LYCI_AY779031.1_00006
OG0000031	MCV_Unclassified_OQ475017.1_00086	MCV_MP1_LYCI_AY779031.1_00097
OG0000032	MCV_Unclassified_OQ475017.1_00001	MCV_MP1_LYCI_AY779031.1_00001
OG0000033	MCV_Unclassified_OQ475017.1_00122	MCV_MP1_LYCI_AY779031.1_00131
OG0000034	MCV_Unclassified_OQ475017.1_00078	MCV_MP1_LYCI_AY779031.1_00089
OG0000035	MCV_Unclassified_OQ475017.1_00057	MCV_MP1_LYCI_AY779031.1_00062
OG0000036	MCV_Unclassified_OQ475017.1_00116	MCV_MP1_LYCI_AY779031.1_00127
OG0000037	MCV_Unclassified_OQ475017.1_00080	MCV_MP1_LYCI_AY779031.1_00091
OG0000038	MCV_Unclassified_OQ475017.1_00036	MCV_MP1_LYCI_AY779031.1_00040
OG0000039	MCV_Unclassified_OQ475017.1_00048	MCV_MP1_LYCI_AY779031.1_00053
OG0000040	MCV_Unclassified_OQ475017.1_00049	MCV_MP1_LYCI_AY779031.1_00054
OG0000041	MCV_Unclassified_OQ475017.1_00054	MCV_MP1_LYCI_AY779031.1_00059
OG0000042	MCV_Unclassified_OQ475017.1_00055	MCV_MP1_LYCI_AY779031.1_00060
OG0000043	MCV_Unclassified_OQ475017.1_00059	MCV_MP1_LYCI_AY779031.1_00065
OG0000044	MCV_Unclassified_OQ475017.1_00058	MCV_MP1_LYCI_AY779031.1_00063
OG0000045	MCV_Unclassified_OQ475017.1_00092	MCV_MP1_LYCI_AY779031.1_00102
OG0000046	MCV_Unclassified_OQ475017.1_00114	MCV_MP1_LYCI_AY779031.1_00125
OG0000047	MCV_Unclassified_OQ475017.1_00109	MCV_MP1_LYCI_AY779031.1_00120
OG0000048	MCV_Unclassified_OQ475017.1_00013	MCV_MP1_LYCI_AY779031.1_00013
OG0000049	MCV_Unclassified_OQ475017.1_00024	MCV_MP1_LYCI_AY779031.1_00025
OG0000050	MCV_Unclassified_OQ475017.1_00019	MCV_MP1_LYCI_AY779031.1_00019
OG0000051	MCV_Unclassified_OQ475017.1_00020	MCV_MP1_LYCI_AY779031.1_00020
OG0000052	MCV_Unclassified_OQ475017.1_00023	MCV_MP1_LYCI_AY779031.1_00024
OG0000053	MCV_Unclassified_OQ475017.1_00097	MCV_MP1_LYCI_AY779031.1_00107
OG0000054	MCV_Unclassified_OQ475017.1_00094	MCV_MP1_LYCI_AY779031.1_00104
OG0000055	MCV_Unclassified_OQ475017.1_00075	MCV_MP1_LYCI_AY779031.1_00086
OG0000056	MCV_Unclassified_OQ475017.1_00079	MCV_MP1_LYCI_AY779031.1_00090
OG0000057	MCV_Unclassified_OQ475017.1_00014	MCV_MP1_LYCI_AY779031.1_00014
OG0000058	MCV_Unclassified_OQ475017.1_00032	MCV_MP1_LYCI_AY779031.1_00036
OG0000059	MCV_Unclassified_OQ475017.1_00088	MCV_MP1_LYCI_AY779031.1_00099
OG0000060	MCV_Unclassified_OQ475017.1_00010	MCV_MP1_LYCI_AY779031.1_00010
OG0000062	MCV_Unclassified_OQ475017.1_00002	MCV_MP1_LYCI_AY779031.1_00002
OG0000063	MCV_Unclassified_OQ475017.1_00070	MCV_MP1_LYCI_AY779031.1_00074, MCV_MP1_LYCI_AY779031.1_00075, MCV_MP1_LYCI_AY779031.1_00080
OG0000064	MCV_Unclassified_OQ475017.1_00065	MCV_MP1_LYCI_AY779031.1_00072
OG0000065	MCV_Unclassified_OQ475017.1_00096	MCV_MP1_LYCI_AY779031.1_00106
OG0000066	MCV_Unclassified_OQ475017.1_00017	MCV_MP1_LYCI_AY779031.1_00123, MCV_MP1_LYCI_AY779031.1_00018
OG0000067	MCV_Unclassified_OQ475017.1_00038	MCV_MP1_LYCI_AY779031.1_00042
