Orthogroup	AF303741.1	HF920633.1
OG0000195	AF303741.1_00146	HF920633.1_00146
OG0000196	AF303741.1_00148	HF920633.1_00056
OG0000197	AF303741.1_00150	HF920633.1_00123
OG0000198	AF303741.1_00151	HF920633.1_00050
OG0000199	AF303741.1_00161	HF920633.1_00098
OG0000201	AF303741.1_00177	HF920633.1_00035
OG0000202	AF303741.1_00184	HF920633.1_00029
OG0000203	AF303741.1_00193	HF920633.1_00121
OG0000204	AF303741.1_00197	HF920633.1_00125
OG0000214	AF303741.1_00008	HF920633.1_00101
OG0000216	AF303741.1_00018	HF920633.1_00008
OG0000218	AF303741.1_00042	HF920633.1_00063
OG0000219	AF303741.1_00044	HF920633.1_00160
OG0000220	AF303741.1_00064	HF920633.1_00061
OG0000221	AF303741.1_00074	HF920633.1_00018
OG0000222	AF303741.1_00107	HF920633.1_00023
OG0000223	AF303741.1_00120	HF920633.1_00102
OG0000224	AF303741.1_00124	HF920633.1_00074
OG0000225	AF303741.1_00135	HF920633.1_00087
OG0000226	AF303741.1_00159	HF920633.1_00041
OG0000227	AF303741.1_00160	HF920633.1_00013
OG0000228	AF303741.1_00175	HF920633.1_00113
OG0000229	AF303741.1_00203	HF920633.1_00037
OG0000230	AF303741.1_00204	HF920633.1_00155
OG0000281	AF303741.1_00028	HF920633.1_00016
OG0000285	AF303741.1_00115	HF920633.1_00070
OG0000286	AF303741.1_00116	HF920633.1_00167
OG0000310	AF303741.1_00002	HF920633.1_00075
OG0000313	AF303741.1_00016	HF920633.1_00002
OG0000319	AF303741.1_00043	HF920633.1_00178
OG0000321	AF303741.1_00048	HF920633.1_00166
OG0000327	AF303741.1_00069	HF920633.1_00065
OG0000333	AF303741.1_00111	HF920633.1_00140
OG0000346	AF303741.1_00180	HF920633.1_00176
OG0000347	AF303741.1_00186	HF920633.1_00055
