locus_tag	ftype	length_bp	gene	EC_number	COG	product
HF920633_00054	CDS	405				hypothetical protein
HF920633_00055	CDS	585				hypothetical protein
HF920633_00056	CDS	936				hypothetical protein
HF920633_00057	CDS	1293				hypothetical protein
HF920633_00058	CDS	927				hypothetical protein
HF920633_00059	CDS	270				hypothetical protein
HF920633_00060	CDS	285				hypothetical protein
HF920633_00061	CDS	471				hypothetical protein
	CRISPR	1317				
HF920633_00062	CDS	1143	C8L	1.17.4.1		Ribonucleoside-diphosphate reductase small chain
HF920633_00063	CDS	513				hypothetical protein
HF920633_00064	CDS	681				hypothetical protein
HF920633_00065	CDS	450				hypothetical protein
HF920633_00066	CDS	405				hypothetical protein
HF920633_00067	CDS	1233				hypothetical protein
HF920633_00068	CDS	834				hypothetical protein
HF920633_00069	CDS	1542				hypothetical protein
HF920633_00070	CDS	348				hypothetical protein
HF920633_00071	CDS	732				hypothetical protein
HF920633_00072	CDS	414				hypothetical protein
HF920633_00073	CDS	1386	MCP			Major capsid protein
HF920633_00074	CDS	1281				hypothetical protein
HF920633_00075	CDS	261				hypothetical protein
HF920633_00076	CDS	225				hypothetical protein
HF920633_00077	CDS	318				hypothetical protein
HF920633_00078	CDS	264				hypothetical protein
HF920633_00079	CDS	3210				hypothetical protein
HF920633_00080	CDS	423				hypothetical protein
HF920633_00081	CDS	1392				hypothetical protein
HF920633_00082	CDS	1272				hypothetical protein
HF920633_00083	CDS	891				hypothetical protein
HF920633_00084	CDS	438				hypothetical protein
HF920633_00085	CDS	1026				hypothetical protein
HF920633_00086	CDS	1584				hypothetical protein
HF920633_00087	CDS	1146				hypothetical protein
HF920633_00088	CDS	471				hypothetical protein
HF920633_00089	CDS	831				hypothetical protein
HF920633_00090	CDS	354				hypothetical protein
HF920633_00091	CDS	1284				hypothetical protein
HF920633_00092	CDS	129				hypothetical protein
HF920633_00093	CDS	819				hypothetical protein
HF920633_00094	CDS	837				hypothetical protein
HF920633_00095	CDS	630				hypothetical protein
HF920633_00096	CDS	666				hypothetical protein
HF920633_00097	CDS	561				hypothetical protein
HF920633_00098	CDS	732				hypothetical protein
HF920633_00099	CDS	1482				hypothetical protein
HF920633_00100	CDS	1473				hypothetical protein
HF920633_00101	CDS	1434				hypothetical protein
HF920633_00102	CDS	645				hypothetical protein
HF920633_00103	CDS	498				hypothetical protein
HF920633_00104	CDS	1317				hypothetical protein
HF920633_00105	CDS	603				hypothetical protein
HF920633_00106	CDS	570				hypothetical protein
HF920633_00107	CDS	1296				hypothetical protein
