Orthogroup	MN432490.1	MG570132.1
OG0000051	MN432490.1_00084	MG570132.1_00079
OG0000052	MN432490.1_00085	MG570132.1_00080
OG0000053	MN432490.1_00096	MG570132.1_00091
OG0000054	MN432490.1_00098	MG570132.1_00093
OG0000055	MN432490.1_00101	MG570132.1_00096
OG0000056	MN432490.1_00112	MG570132.1_00107
OG0000057	MN432490.1_00116	MG570132.1_00112
OG0000058	MN432490.1_00118	MG570132.1_00114
OG0000059	MN432490.1_00002	MG570132.1_00002
OG0000060	MN432490.1_00010	MG570132.1_00011
OG0000061	MN432490.1_00018	MG570132.1_00019
OG0000062	MN432490.1_00093	MG570132.1_00088
OG0000063	MN432490.1_00073	MG570132.1_00070
OG0000064	MN432490.1_00017	MG570132.1_00018
OG0000065	MN432490.1_00040	MG570132.1_00039
OG0000066	MN432490.1_00044	MG570132.1_00043
OG0000067	MN432490.1_00048	MG570132.1_00047
OG0000068	MN432490.1_00067	MG570132.1_00066
OG0000069	MN432490.1_00100	MG570132.1_00095
OG0000070	MN432490.1_00102	MG570132.1_00097
OG0000071	MN432490.1_00115	MG570132.1_00111
OG0000072	MN432490.1_00009	MG570132.1_00010
OG0000073	MN432490.1_00012	MG570132.1_00013
OG0000074	MN432490.1_00016	MG570132.1_00017
OG0000075	MN432490.1_00036	MG570132.1_00035
OG0000076	MN432490.1_00039	MG570132.1_00038
OG0000077	MN432490.1_00042	MG570132.1_00041
OG0000078	MN432490.1_00043	MG570132.1_00042
OG0000079	MN432490.1_00047	MG570132.1_00046
OG0000080	MN432490.1_00052	MG570132.1_00051
OG0000081	MN432490.1_00053	MG570132.1_00052
OG0000082	MN432490.1_00054	MG570132.1_00053
OG0000083	MN432490.1_00063	MG570132.1_00062
OG0000084	MN432490.1_00066	MG570132.1_00065
OG0000085	MN432490.1_00069	MG570132.1_00067
OG0000086	MN432490.1_00070	MG570132.1_00068
OG0000087	MN432490.1_00075	MG570132.1_00071
OG0000088	MN432490.1_00076	MG570132.1_00072
OG0000089	MN432490.1_00086	MG570132.1_00081
OG0000090	MN432490.1_00087	MG570132.1_00082
OG0000091	MN432490.1_00099	MG570132.1_00094
OG0000092	MN432490.1_00103	MG570132.1_00098
OG0000093	MN432490.1_00106	MG570132.1_00101
OG0000094	MN432490.1_00109	MG570132.1_00104
OG0000095	MN432490.1_00110	MG570132.1_00105
OG0000096	MN432490.1_00120	MG570132.1_00116
OG0000097	MN432490.1_00003	MG570132.1_00003
OG0000098	MN432490.1_00004	MG570132.1_00004
OG0000099	MN432490.1_00041	MG570132.1_00040
OG0000100	MN432490.1_00045	MG570132.1_00044
OG0000101	MN432490.1_00071	MG570132.1_00069
OG0000102	MN432490.1_00081	MG570132.1_00076
OG0000103	MN432490.1_00104	MG570132.1_00099
OG0000104	MN432490.1_00107	MG570132.1_00102
OG0000105	MN432490.1_00117	MG570132.1_00113
OG0000106	MN432490.1_00030	MG570132.1_00029
OG0000107	MN432490.1_00105	MG570132.1_00100
OG0000108	MN432490.1_00121	MG570132.1_00117
OG0000110	MN432490.1_00119	MG570132.1_00115
OG0000111	MN432490.1_00095	MG570132.1_00090
OG0000112	MN432490.1_00082	MG570132.1_00077
OG0000115	MN432490.1_00011	MG570132.1_00012
OG0000116	MN432490.1_00055	MG570132.1_00054
OG0000118	MN432490.1_00094	MG570132.1_00089
OG0000124	MN432490.1_00027	MG570132.1_00027
OG0000143	MN432490.1_00021	MG570132.1_00022
